home_team;away_team;home_team_fifa_rank;away_team_fifa_rank;home_team_total_fifa_points;away_team_total_fifa_points;home_team_result;group
Qatar;Ecuador;;;;;Lose;Group A
England;IR Iran;;;;;Win;Group B
Senegal;Netherlands;;;;;Lose;Group A
USA;Wales;;;;;Draw;Group B
Argentina;Saudi Arabia;;;;;Lose;Group C
Denmark;Tunisia;;;;;Draw;Group D
Mexico;Poland;;;;;Draw;Group C
France;Australia;;;;;Win;Group D
Morocco;Croatia;;;;;Draw;Group F
Germany;Japan;;;;;Lose;Group E
Spain;Costa Rica;;;;;Win;Group E
Belgium;Canada;;;;;Win;Group F
Switzerland;Cameroon;;;;;Win;Group G
Uruguay;Korea Republic;;;;;Draw;Group H
Portugal;Ghana;;;;;Win;Group H
Brazil;Serbia;;;;;Win;Group G
Wales;IR Iran;;;;;Lose;Group B
Qatar;Senegal;;;;;Lose;Group A
Netherlands;Ecuador;;;;;Draw;Group A
England;USA;;;;;Draw;Group B
Tunisia;Australia;;;;;Lose;Group D
Poland;Saudi Arabia;;;;;Win;Group C
France;Denmark;;;;;Win;Group D
Argentina;Mexico;;;;;Win;Group C
Japan;Costa Rica;;;;;Lose;Group E
Belgium;Morocco;;;;;Lose;Group F
Croatia;Canada;;;;;Win;Group F
Spain;Germany;;;;;Draw;Group E
Cameroon;Serbia;;;;;Draw;Group G
Korea Republic;Ghana;;;;;Lose;Group H
Brazil;Switzerland;;;;;Win;Group G
Portugal;Uruguay;;;;;Win;Group H
Ecuador;Senegal;;;;;Lose;Group A
Netherlands;Qatar;;;;;Win;Group A
Wales;England;;;;;Lose;Group B
IR Iran;USA;;;;;Lose;Group B
Australia;Denmark;;;;;Win;Group D
Tunisia;France;;;;;Win;Group D
Poland;Argentina;;;;;Lose;Group C
Saudi Arabia;Mexico;;;;;Lose;Group C
Croatia;Belgium;;;;;Draw;Group F
Canada;Morocco;;;;;Lose;Group F
Japan;Spain;;;;;Win;Group E
Costa Rica;Germany;;;;;Lose;Group E
Ghana;Uruguay;;;;;Lose;Group H
Korea Republic;Portugal;;;;;Win;Group H
Serbia;Switzerland;;;;;Lose;Group G
Cameroon;Brazil;;;;;Win;Group G
Netherlands;USA;;;;;Win;O
Argentina;Australia;;;;;Win;O
France;Poland;;;;;Win;O
England;Senegal;;;;;Win;O
Japan;Croatia;;;;;Lose;O
Brazil;Korea Republic;;;;;Win;O
Morocco;Spain;;;;;Win;O
Portugal;Switzerland;;;;;Win;O
Croatia;Brazil;;;;;Win;Q
Netherlands;Argentina;;;;;Win;Q
Morocco;Portugal;;;;;Win;Q
England;France;;;;;Lose;Q
Argentina;Croatia;;;;;Win;S
France;Morocco;;;;;Win;S
Croatia;Morocco;;;;;Win;F2
Argentina;France;;;;;Win;F1
