team,fifa_rank,total_fifa_points,goalkeeper_score,mean_defense_score,mean_offense_score,mean_midfield_score
Tunisia,35,1499,64.3781512605042,72.22488479262672,71.39493087557602,72.77281105990784
Ghana,60,1387,68.21134020618557,73.4908256880734,74.53807339449541,78.92660550458716
Belgium,2,1827,82.44329896907216,81.2360824742268,81.72319587628864,81.53298969072165
Wales,18,1588,73.81656804733728,74.66568047337279,74.3414201183432,78.3526627218935
USA,15,1633,81.07829181494662,75.00427046263346,76.0338078291815,77.09928825622777
Mexico,9,1658,79.18849840255591,76.98466453674123,79.17284345047923,77.7884984025559
Croatia,16,1621,78.67632850241546,78.8096618357488,80.08550724637682,81.20241545893721
Canada,38,1479,71.99319727891157,68.62585034013605,71.236690647482,72.93401360544217
Serbia,25,1547,76.43820224719101,80.24662921348315,78.25786516853931,80.30449438202248
Portugal,8,1674,81.80973451327434,82.89159292035399,84.93362831858407,83.59026548672567
Poland,26,1544,82.10502283105023,75.83470319634704,79.27488584474885,76.73013698630137
Germany,12,1650,89.05371900826447,84.6888429752066,83.60206611570247,85.79669421487601
France,3,1789,86.86808510638298,84.08127659574467,85.7,86.15872340425533
Spain,7,1709,88.78481012658227,85.50928270042195,85.8746835443038,87.1278481012658
Cameroon,37,1480,77.68780487804878,77.87170731707317,78.71317073170732,76.86439024390242
Netherlands,10,1658,83.23287671232876,80.73470319634704,85.47853881278539,83.70913242009134
England,5,1761,83.24074074074075,84.69305555555556,85.11898148148147,84.51111111111112
Brazil,1,1832,86.26122448979592,85.92040816326531,86.53102040816326,85.34367346938775
Denmark,11,1653,79.66494845360825,78.64845360824742,77.47835051546392,78.99742268041237
Uruguay,13,1635,79.36018957345972,79.64644549763034,83.57725118483413,78.51469194312797
Ecuador,46,1452,71.45086705202313,70.73036649214659,75.36473988439306,74.93815028901734
Switzerland,14,1635,80.17948717948718,78.14717948717949,76.52717948717948,78.71846153846155
Costa Rica,31,1503,78.62439024390244,69.99879032258065,71.24524714828897,70.52016129032258
Morocco,24,1551,72.08673469387755,75.72857142857143,77.05612244897958,76.47193877551021
Argentina,4,1765,80.69396551724138,82.98189655172415,88.26034482758621,84.42801724137932
Australia,37,1486,78.35960591133005,72.60344827586206,74.43054187192119,74.16798029556651
Korea Republic,29,1522,73.84824902723736,72.6466926070039,75.08949416342413,75.06031128404669
Senegal,18,1587,72.35828877005348,77.5144385026738,79.81818181818181,76.35026737967914
Japan,23,1549,70.38150289017341,72.69239130434782,72.84112903225807,76.91156716417912
Saudi Arabia,53,1433,70.91803278688525,71.3360655737705,70.51967213114754,73.08524590163934
IR Iran,21,1572,68.36065573770492,68.97241379310346,70.98275862068965,69.9951219512195
Qatar,46,1437,,,,
