team,fifa_rank,total_fifa_points,home_team_score,team_result,goalkeeper_score,mean_defense_score,mean_offense_score,mean_midfield_score
Bolivia,59,0,3,1,66.93,67.37333333333333,68.734126984127,68.21000000000002
Brazil,8,0,1,0,86.26122448979592,85.92040816326531,86.53102040816326,85.34367346938775
Ecuador,35,0,5,1,71.45086705202313,70.73036649214659,75.36473988439306,74.93815028901734
Guinea,65,0,1,1,60.42528735632184,68.6461038961039,72.13192771084339,71.85597484276728
Paraguay,67,0,1,-1,74.10731707317073,74.98439024390244,78.3609756097561,74.34341463414634
Peru,70,0,0,-1,68.58895705521472,71.58545454545455,76.39347826086956,73.66835443037974
Zimbabwe,50,0,2,1,,62.55555555555556,69.16732026143791,63.99236111111111
Guinea,65,0,4,1,60.42528735632184,68.6461038961039,72.13192771084339,71.85597484276728
Faroe Islands,111,0,0,-1,61.08,,,59.13333333333333
Sweden,4,0,1,-1,76.50431034482759,77.11206896551724,81.57327586206897,77.84181034482756
Australia,52,0,2,1,78.35960591133005,72.60344827586206,74.43054187192119,74.16798029556651
Bolivia,59,0,1,1,66.93,67.37333333333333,68.734126984127,68.21000000000002
Colombia,19,0,2,1,78.23671497584542,78.81932367149757,80.5304347826087,77.88164251207729
Congo,107,0,0,0,67.33684210526316,67.28571428571429,69.00650406504064,68.25315315315315
Uruguay,22,0,1,0,79.36018957345972,79.64644549763034,83.57725118483413,78.51469194312797
Argentina,5,0,2,1,80.69396551724138,82.98189655172415,88.26034482758621,84.42801724137932
Bolivia,59,0,7,1,66.93,67.37333333333333,68.734126984127,68.21000000000002
Brazil,8,0,2,1,86.26122448979592,85.92040816326531,86.53102040816326,85.34367346938775
Paraguay,67,0,1,0,74.10731707317073,74.98439024390244,78.3609756097561,74.34341463414634
Sweden,4,0,1,0,76.50431034482759,77.11206896551724,81.57327586206897,77.84181034482756
Austria,38,0,3,1,75.57303370786516,76.67640449438203,75.07078651685393,76.9258426966292
Denmark,10,0,4,1,79.66494845360825,78.64845360824742,77.47835051546392,78.99742268041237
Argentina,5,0,0,0,80.69396551724138,82.98189655172415,88.26034482758621,84.42801724137932
Brazil,8,0,6,1,86.26122448979592,85.92040816326531,86.53102040816326,85.34367346938775
Colombia,19,0,4,1,78.23671497584542,78.81932367149757,80.5304347826087,77.88164251207729
Uruguay,22,0,4,1,79.36018957345972,79.64644549763034,83.57725118483413,78.51469194312797
Iceland,53,0,0,-1,67.19565217391305,70.6538860103627,73.79740932642488,72.53367875647669
Argentina,5,0,0,-1,80.69396551724138,82.98189655172415,88.26034482758621,84.42801724137932
Brazil,8,0,4,1,86.26122448979592,85.92040816326531,86.53102040816326,85.34367346938775
Ecuador,35,0,0,-1,71.45086705202313,70.73036649214659,75.36473988439306,74.93815028901734
Estonia,118,0,0,-1,67.92682926829268,66.13894736842106,61.963793103448275,63.55384615384614
Peru,70,0,2,0,68.58895705521472,71.58545454545455,76.39347826086956,73.66835443037974
Eswatini,102,0,0,-1,,,,
Albania,92,0,0,-1,72.08571428571429,72.73764705882351,68.18855421686746,71.75060240963856
Bulgaria,37,0,1,0,73.55625,69.34937500000001,73.28687500000001,73.18375
England,11,0,3,1,83.24074074074075,84.69305555555556,85.11898148148147,84.51111111111112
Faroe Islands,111,0,0,-1,61.08,,,59.13333333333333
Finland,47,0,0,-1,79.64615384615385,73.15641025641025,71.73333333333333,73.60205128205129
Hungary,42,0,1,-1,76.21311475409836,70.81420765027322,72.82568306010928,73.43551912568306
Iceland,53,0,1,1,67.19565217391305,70.6538860103627,73.79740932642488,72.53367875647669
Republic of Ireland,6,0,2,1,79.02127659574468,76.68351063829788,75.6590425531915,77.32606382978723
Northern Ireland,40,0,2,1,72.47239263803681,73.23006134969326,68.95828220858895,72.8355828220859
Norway,9,0,1,1,75.29032258064517,76.02956989247312,76.98387096774194,76.43602150537633
Scotland,30,0,1,0,76.67088607594937,75.62974683544304,75.77215189873418,77.34240506329114
Spain,13,0,2,1,88.78481012658227,85.50928270042195,85.8746835443038,87.1278481012658
Uruguay,22,0,2,1,79.36018957345972,79.64644549763034,83.57725118483413,78.51469194312797
Venezuela,94,0,2,1,67.53333333333333,71.41796875,74.44065934065935,73.21342281879194
Morocco,33,0,3,1,72.08673469387755,75.72857142857143,77.05612244897958,76.47193877551021
Saudi Arabia,44,0,4,1,70.91803278688525,71.3360655737705,70.51967213114754,73.08524590163934
Brazil,8,0,2,1,86.26122448979592,85.92040816326531,86.53102040816326,85.34367346938775
Ecuador,35,0,1,0,71.45086705202313,70.73036649214659,75.36473988439306,74.93815028901734
Zimbabwe,50,0,2,1,,62.55555555555556,69.16732026143791,63.99236111111111
Saudi Arabia,44,0,3,1,70.91803278688525,71.3360655737705,70.51967213114754,73.08524590163934
Albania,92,0,1,-1,72.08571428571429,72.73764705882351,68.18855421686746,71.75060240963856
Estonia,118,0,0,-1,67.92682926829268,66.13894736842106,61.963793103448275,63.55384615384614
Mexico,14,0,1,1,79.18849840255591,76.98466453674123,79.17284345047923,77.7884984025559
Norway,9,0,1,1,75.29032258064517,76.02956989247312,76.98387096774194,76.43602150537633
Romania,21,0,1,1,75.96756756756757,75.95729729729729,75.50162162162162,74.86054054054054
San Marino,119,0,0,-1,52.61538461538461,,,
Tunisia,31,0,1,0,64.3781512605042,72.22488479262672,71.39493087557602,72.77281105990784
Saudi Arabia,44,0,1,-1,70.91803278688525,71.3360655737705,70.51967213114754,73.08524590163934
Korea Republic,36,0,1,0,73.84824902723736,72.6466926070039,75.08949416342413,75.06031128404669
Nigeria,18,0,4,1,76.21761658031087,74.15806451612903,77.92442396313363,76.8152073732719
Korea Republic,36,0,1,1,73.84824902723736,72.6466926070039,75.08949416342413,75.06031128404669
Zambia,27,0,4,1,,,67.96451612903226,61.22702702702703
Zimbabwe,47,0,1,1,,62.55555555555556,69.16732026143791,63.99236111111111
Saudi Arabia,44,0,3,1,70.91803278688525,71.3360655737705,70.51967213114754,73.08524590163934
Mexico,16,0,0,0,79.18849840255591,76.98466453674123,79.17284345047923,77.7884984025559
Morocco,32,0,1,1,72.08673469387755,75.72857142857143,77.05612244897958,76.47193877551021
Japan,43,0,1,1,70.38150289017341,72.69239130434782,72.84112903225807,76.91156716417912
Cyprus,74,0,2,0,64.0,66.69722222222224,69.3857142857143,62.92121212121211
Belgium,24,0,2,1,82.44329896907216,81.2360824742268,81.72319587628864,81.53298969072165
Mexico,16,0,4,1,79.18849840255591,76.98466453674123,79.17284345047923,77.7884984025559
Saudi Arabia,44,0,4,1,70.91803278688525,71.3360655737705,70.51967213114754,73.08524590163934
Algeria,30,0,1,0,70.28676470588235,74.36149425287357,75.62637362637362,75.28296703296704
Cameroon,23,0,3,1,77.68780487804878,77.87170731707317,78.71317073170732,76.86439024390242
Morocco,32,0,1,1,72.08673469387755,75.72857142857143,77.05612244897958,76.47193877551021
Luxembourg,110,0,1,-1,66.95,67.61147540983606,,67.35625
Bulgaria,37,0,4,1,73.55625,69.34937500000001,73.28687500000001,73.18375
Denmark,4,0,1,1,79.66494845360825,78.64845360824742,77.47835051546392,78.99742268041237
