team;fifa_rank;total_fifa_points;home_team_score;team_result;goalkeeper_score;mean_defense_score;mean_offense_score;mean_midfield_score
Bolivia;59;0;3;1;;;;
Brazil;8;0;1;0;;;;
Ecuador;35;0;5;1;;;;
Guinea;65;0;1;1;;;;
Paraguay;67;0;1;-1;;;;
Peru;70;0;0;-1;;;;
Zimbabwe;50;0;2;1;;;;
Guinea;65;0;4;1;;;;
Faroe Islands;111;0;0;-1;;;;
Sweden;4;0;1;-1;;;;
Australia;52;0;2;1;;;;
Bolivia;59;0;1;1;;;;
Colombia;19;0;2;1;;;;
Congo;107;0;0;0;;;;
Uruguay;22;0;1;0;;;;
Argentina;5;0;2;1;;;;
Bolivia;59;0;7;1;;;;
Brazil;8;0;2;1;;;;
Paraguay;67;0;1;0;;;;
Sweden;4;0;1;0;;;;
Austria;38;0;3;1;;;;
Denmark;10;0;4;1;;;;
Argentina;5;0;0;0;;;;
Brazil;8;0;6;1;;;;
Colombia;19;0;4;1;;;;
Uruguay;22;0;4;1;;;;
Iceland;53;0;0;-1;;;;
Argentina;5;0;0;-1;;;;
Brazil;8;0;4;1;;;;
Ecuador;35;0;0;-1;;;;
Estonia;118;0;0;-1;;;;
Peru;70;0;2;0;;;;
Eswatini;102;0;0;-1;;;;
Albania;92;0;0;-1;;;;
Bulgaria;37;0;1;0;;;;
England;11;0;3;1;;;;
Faroe Islands;111;0;0;-1;;;;
Finland;47;0;0;-1;;;;
Hungary;42;0;1;-1;;;;
Iceland;53;0;1;1;;;;
Republic of Ireland;6;0;2;1;;;;
Northern Ireland;40;0;2;1;;;;
Norway;9;0;1;1;;;;
Scotland;30;0;1;0;;;;
Spain;13;0;2;1;;;;
Uruguay;22;0;2;1;;;;
Venezuela;94;0;2;1;;;;
Morocco;33;0;3;1;;;;
Saudi Arabia;44;0;4;1;;;;
Brazil;8;0;2;1;;;;
Ecuador;35;0;1;0;;;;
Zimbabwe;50;0;2;1;;;;
Saudi Arabia;44;0;3;1;;;;
Albania;92;0;1;-1;;;;
Estonia;118;0;0;-1;;;;
Mexico;14;0;1;1;;;;
Norway;9;0;1;1;;;;
Romania;21;0;1;1;;;;
San Marino;119;0;0;-1;;;;
Tunisia;31;0;1;0;;;;
Saudi Arabia;44;0;1;-1;;;;
Korea Republic;36;0;1;0;;;;
Nigeria;18;0;4;1;;;;
Korea Republic;36;0;1;1;;;;
Zambia;27;0;4;1;;;;
Zimbabwe;47;0;1;1;;;;
Saudi Arabia;44;0;3;1;;;;
Mexico;16;0;0;0;;;;
Morocco;32;0;1;1;;;;
Japan;43;0;1;1;;;;
Cyprus;74;0;2;0;;;;
Belgium;24;0;2;1;;;;
Mexico;16;0;4;1;;;;
Saudi Arabia;44;0;4;1;;;;
Algeria;30;0;1;0;;;;
Cameroon;23;0;3;1;;;;
Morocco;32;0;1;1;;;;
Luxembourg;110;0;1;-1;;;;
Bulgaria;37;0;4;1;;;;
Denmark;4;0;1;1;;;;
France;7;0;2;-1;;;;
Germany;5;0;5;1;;;;
Republic of Ireland;9;0;1;-1;;;;
Italy;2;0;3;1;;;;
Netherlands;13;0;2;1;;;;
Poland;22;0;0;-1;;;;
Portugal;21;0;1;1;;;;
Romania;20;0;2;1;;;;
Sweden;11;0;3;1;;;;
USA;26;0;1;0;;;;
Wales;29;0;2;1;;;;
Korea DPR;64;0;3;1;;;;
Saudi Arabia;44;0;0;0;;;;
IR Iran;58;0;0;-1;;;;
USA;26;0;1;-1;;;;
Tunisia;34;0;3;1;;;;
Japan;43;0;1;-1;;;;
Korea DPR;64;0;1;-1;;;;
Iraq;59;0;2;0;;;;
Mexico;16;0;2;1;;;;
Korea DPR;64;0;0;-1;;;;
IR Iran;59;0;1;-1;;;;
Korea Republic;37;0;1;0;;;;
USA;26;0;0;-1;;;;
Burundi;98;0;0;-1;;;;
Iraq;64;0;1;0;;;;
IR Iran;59;0;2;1;;;;
Japan;44;0;1;1;;;;
Liechtenstein;157;0;0;-1;;;;
United Arab Emirates;55;0;2;1;;;;
Hungary;49;0;1;1;;;;
Israel;66;0;1;0;;;;
Turkey;67;0;2;1;;;;
Iraq;64;0;2;0;;;;
Korea Republic;37;0;3;1;;;;
Saudi Arabia;46;0;4;1;;;;
United Arab Emirates;55;0;0;-1;;;;
Australia;61;0;1;0;;;;
Mexico;18;0;3;1;;;;
Egypt;27;0;3;1;;;;
Tunisia;35;0;4;1;;;;
Gabon;54;0;1;-1;;;;
Tunisia;35;0;2;1;;;;
USA;26;0;1;1;;;;
Austria;34;0;1;0;;;;
Israel;66;0;1;-1;;;;
Portugal;20;0;3;1;;;;
Turkey;67;0;2;1;;;;
USA;26;0;8;1;;;;
Argentina;9;0;1;1;;;;
France;14;0;1;-1;;;;
Germany;4;0;2;1;;;;
Greece;36;0;1;1;;;;
Italy;3;0;1;1;;;;
Malta;84;0;0;-1;;;;
Northern Ireland;42;0;1;0;;;;
Poland;23;0;1;-1;;;;
San Marino;122;0;1;-1;;;;
Spain;7;0;1;1;;;;
Switzerland;13;0;4;1;;;;
Wales;28;0;1;-1;;;;
Gambia;153;0;2;-1;;;;
Gambia;153;0;3;1;;;;
Sierra Leone;84;0;1;0;;;;
Guinea-Bissau;132;0;1;1;;;;
Senegal;63;0;0;-1;;;;
Guinea;62;0;1;-1;;;;
Sierra Leone;84;0;2;-1;;;;
Mali;75;0;3;1;;;;
Senegal;63;0;4;1;;;;
Ghana;41;0;1;1;;;;
Sierra Leone;84;0;1;0;;;;
Tahiti;138;0;3;1;;;;
Kenya;72;0;2;1;;;;
Mali;75;0;0;0;;;;
Senegal;63;0;0;0;;;;
Gambia;153;0;0;-1;;;;
Sierra Leone;84;0;2;1;;;;
Gambia;153;0;2;1;;;;
Sierra Leone;84;0;2;1;;;;
USA;27;0;7;1;;;;
Tanzania;101;0;1;1;;;;
Bangladesh;122;0;3;1;;;;
Kenya;72;0;2;1;;;;
Argentina;9;0;2;1;;;;
Mexico;17;0;0;-1;;;;
USA;27;0;0;-1;;;;
Mali;75;0;0;-1;;;;
Mexico;17;0;0;0;;;;
Ghana;37;0;0;0;;;;
Ghana;37;0;1;0;;;;
Barbados;114;0;0;0;;;;
Ghana;37;0;2;1;;;;
Mali;70;0;1;0;;;;
Mauritania;144;0;1;-1;;;;
Thailand;69;0;1;0;;;;
USA;22;0;2;1;;;;
Guinea;63;0;3;1;;;;
Costa Rica;42;0;0;0;;;;
Mexico;16;0;1;0;;;;
Spain;5;0;2;0;;;;
Tunisia;32;0;2;0;;;;
USA;22;0;1;0;;;;
Barbados;114;0;0;-1;;;;
Mali;70;0;1;1;;;;
Saudi Arabia;38;0;1;1;;;;
Suriname;117;0;2;1;;;;
Grenada;143;0;1;1;;;;
Qatar;54;0;1;1;;;;
Mexico;16;0;1;-1;;;;
Saudi Arabia;38;0;1;0;;;;
Barbados;114;0;3;1;;;;
Qatar;54;0;0;0;;;;
Venezuela;93;0;1;-1;;;;
Burkina Faso;127;0;1;1;;;;
Côte d'Ivoire;33;0;5;1;;;;
USA;22;0;1;0;;;;
Burkina Faso;127;0;0;-1;;;;
Guinea;63;0;1;-1;;;;
Oman;97;0;0;-1;;;;
Senegal;56;0;0;0;;;;
Oman;97;0;1;0;;;;
Egypt;26;0;1;0;;;;
Mexico;16;0;1;-1;;;;
United Arab Emirates;51;0;0;-1;;;;
Egypt;26;0;1;1;;;;
Oman;97;0;1;1;;;;
United Arab Emirates;51;0;1;0;;;;
Morocco;30;0;2;1;;;;
Oman;97;0;2;1;;;;
Saudi Arabia;38;0;1;0;;;;
United Arab Emirates;51;0;0;-1;;;;
Gambia;125;0;0;0;;;;
Malta;83;0;1;0;;;;
Spain;5;0;1;0;;;;
Slovenia;134;0;2;0;;;;
Malawi;67;0;0;-1;;;;
Malta;83;0;0;-1;;;;
Malawi;67;0;0;-1;;;;
Romania;13;0;2;1;;;;
Italy;7;0;0;-1;;;;
Korea Republic;42;0;1;-1;;;;
Malta;83;0;1;1;;;;
Colombia;20;0;0;0;;;;
USA;21;0;1;0;;;;
Bolivia;55;0;0;-1;;;;
USA;21;0;1;-1;;;;
Mali;61;0;0;0;;;;
Morocco;28;0;0;0;;;;
Mexico;17;0;2;1;;;;
Colombia;20;0;2;0;;;;
Zimbabwe;46;0;2;0;;;;
Gabon;62;0;0;0;;;;
Mexico;17;0;0;0;;;;
USA;21;0;1;1;;;;
Cayman Islands;153;0;3;1;;;;
Cyprus;75;0;2;1;;;;
England;12;0;1;1;;;;
Hungary;49;0;1;-1;;;;
Nigeria;15;0;0;0;;;;
Wales;27;0;1;-1;;;;
Dominican Republic;152;0;0;-1;;;;
USA;21;0;1;0;;;;
Zambia;30;0;2;1;;;;
Israel;54;0;1;1;;;;
Egypt;25;0;0;0;;;;
Tunisia;32;0;4;1;;;;
Angola;124;0;2;1;;;;
France;15;0;3;1;;;;
Austria;35;0;1;0;;;;
Brazil;2;0;2;1;;;;
Germany;1;0;2;1;;;;
Greece;34;0;0;0;;;;
Republic of Ireland;13;0;0;0;;;;
Luxembourg;116;0;1;-1;;;;
Northern Ireland;42;0;2;1;;;;
Scotland;30;0;0;-1;;;;
Spain;6;0;0;-1;;;;
Nigeria;18;0;3;1;;;;
Saudi Arabia;36;0;0;-1;;;;
Tunisia;32;0;0;-1;;;;
USA;21;0;2;0;;;;
Ghana;31;0;1;1;;;;
Côte d'Ivoire;28;0;4;1;;;;
Egypt;25;0;4;1;;;;
Senegal;58;0;2;1;;;;
Zambia;22;0;0;0;;;;
Malta;78;0;1;-1;;;;
Nigeria;18;0;0;0;;;;
Ghana;31;0;1;1;;;;
Zambia;22;0;1;1;;;;
Egypt;25;0;0;-1;;;;
Ghana;31;0;1;-1;;;;
Zambia;22;0;1;1;;;;
Hungary;52;0;0;-1;;;;
Nigeria;18;0;2;1;;;;
Zambia;22;0;4;1;;;;
Cayman Islands;140;0;2;-1;;;;
Colombia;20;0;0;-1;;;;
Suriname;109;0;2;1;;;;
Côte d'Ivoire;28;0;3;1;;;;
Nigeria;18;0;2;1;;;;
Suriname;109;0;1;0;;;;
Poland;24;0;1;1;;;;
Trinidad and Tobago;93;0;3;1;;;;
Oman;83;0;1;0;;;;
Colombia;20;0;1;1;;;;
Tunisia;32;0;2;1;;;;
Argentina;10;0;3;1;;;;
Austria;36;0;1;-1;;;;
Denmark;6;0;3;1;;;;
Iceland;43;0;0;-1;;;;
Lithuania;87;0;1;0;;;;
Netherlands;8;0;0;-1;;;;
Northern Ireland;35;0;4;1;;;;
Norway;3;0;0;0;;;;
Romania;11;0;3;1;;;;
Slovakia;54;0;4;1;;;;
Switzerland;4;0;3;1;;;;
Turkey;57;0;0;-1;;;;
Wales;32;0;0;-1;;;;
Eswatini;100;0;0;-1;;;;
South Africa;92;0;1;1;;;;
USA;23;0;1;-1;;;;
Greece;37;0;5;1;;;;
Slovenia;117;0;3;1;;;;
United Arab Emirates;56;0;0;-1;;;;
